city,num_vehicles,num_requests,seed,trial,lambda_val,M_val,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,real_quantum_hardware,rep
32_Phoenix_City,5,5,50542,1,10000.0,20000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,10000.0,20000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,10000.0,20000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,10000.0,20000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,10000.0,20000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,10000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,10000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,10000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,10000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,10000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,10000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,10000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,10000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,10000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,10000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,20000.0,40000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,20000.0,40000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,20000.0,40000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,20000.0,40000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,20000.0,40000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,20000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,20000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,20000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,20000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,20000.0,100000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,20000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,20000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,20000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,20000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,20000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,40000.0,80000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,40000.0,80000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,40000.0,80000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,40000.0,80000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,40000.0,80000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,40000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,40000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,40000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,40000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,40000.0,200000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,40000.0,400000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,40000.0,400000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,40000.0,400000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,40000.0,400000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,40000.0,400000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50543,2,2500.0,5000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,0
32_Phoenix_City,5,5,50543,2,2500.0,5000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,1
32_Phoenix_City,5,5,50543,2,2500.0,5000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,2
32_Phoenix_City,5,5,50543,2,2500.0,5000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,3
32_Phoenix_City,5,5,50543,2,2500.0,5000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,4
32_Phoenix_City,5,5,50543,2,2500.0,12500.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,0
32_Phoenix_City,5,5,50543,2,2500.0,12500.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,1
32_Phoenix_City,5,5,50543,2,2500.0,12500.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,2
32_Phoenix_City,5,5,50543,2,2500.0,12500.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,3
32_Phoenix_City,5,5,50543,2,2500.0,12500.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,4
32_Phoenix_City,5,5,50543,2,2500.0,25000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,0
32_Phoenix_City,5,5,50543,2,2500.0,25000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,1
32_Phoenix_City,5,5,50543,2,2500.0,25000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,2
32_Phoenix_City,5,5,50543,2,2500.0,25000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,3
32_Phoenix_City,5,5,50543,2,2500.0,25000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,4
32_Phoenix_City,5,5,50543,2,5000.0,10000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,0
32_Phoenix_City,5,5,50543,2,5000.0,10000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,1
